Marca,Modelo,Ano,Motor,Transmision,Parte,Clima,Alto,Ancho,Observaciones
ACURA,CL,1997,V6 3.0,Automática,432501,Con clima,14 3/4,26 3/4,
ACURA,CL,1998,V6 3.0,Automática,432501,Con clima,14 3/4,26 3/4,
ACURA,CL,1999,V6 3.0,Automática,432501,Con clima,14 3/4,26 3/4,
,,,,,,,,,
ACURA,ILX,2013,"L4 1.8,2.4",Automática,438314,Con clima,14 3/4,25 11/16,
ACURA,ILX,2014,"L4 1.8,2.4",Automática,438314,Con clima,14 3/4,25 11/16,
ACURA,ILX,2015,"L4 1.8,2.4",Automática,438314,Con clima,14 3/4,25 11/16,
,,,,,,,,,
ACURA,MDX,2007,V6 3.7,Automática,19010RYEA52,Con clima,19 11/16,30 3/16,
ACURA,MDX,2008,V6 3.7,Automática,19010RYEA52,Con clima,19 11/16,30 3/16,
ACURA,MDX,2009,V6 3.7,Automática,19010RYEA52,Con clima,19 11/16,30 3/16,
ACURA,MDX,2010,V6 3.7,Automática,19010RYEA52,Con clima,19 11/16,30 3/16,
ACURA,MDX,2011,V6 3.7,Automática,19010RYEA52,Con clima,19 11/16,30 3/16,
ACURA,MDX,2012,V6 3.7,Automática,19010RYEA52,Con clima,19 11/16,30 3/16,
ACURA,MDX,2013,V6 3.7,Automática,19010RYEA52,Con clima,19 11/16,30 3/16,
,,,,,,,,,
ACURA,RDX,2007,L4 2.3,Automática,19010RWCA51,Con clima,16 3/4,30 1/16,
ACURA,RDX,2008,L4 2.3,Automática,19010RWCA51,Con clima,16 3/4,30 1/16,
ACURA,RDX,2009,L4 2.3,Automática,19010RWCA51,Con clima,16 3/4,30 1/16,
ACURA,RDX,2010,L4 2.3,Automática,19010RWCA51,Con clima,16 3/4,30 1/16,
ACURA,RDX,2011,L4 2.3,Automática,19010RWCA51,Con clima,16 3/4,30 1/16,
ACURA,RDX,2012,L4 2.3,Automática,19010RWCA51,Con clima,16 3/4,30 1/16,
,,,,,,,,,
ACURA,RL,2005,V6 3.2,Automática,433877,Con clima,16 3/4,28 1/4,
ACURA,RL,2006,V6 3.2,Automática,433877,Con clima,16 3/4,28 1/4,
ACURA,RL,2007,V6 3.2,Automática,433877,Con clima,16 3/4,28 1/4,
ACURA,RL,2008,V6 3.2,Automática,433877,Con clima,16 3/4,28 1/4,
,,,,,,,,,
ACURA,RLX,2014,V6 3.5,Automática,19010R9PA51,Con clima,15 3/4,30 3/16,
ACURA,RLX,2015,V6 3.5,Automática,19010R9PA51,Con clima,15 3/4,30 3/16,
ACURA,RLX,2016,V6 3.5,Automática,19010R9PA51,Con clima,15 3/4,30 3/16,
ACURA,RLX,2017,V6 3.5,Automática,19010R9PA51,Con clima,15 3/4,30 3/16,
ACURA,RLX,2018,V6 3.5,Automática,19010R9PA51,Con clima,15 3/4,30 3/16,
ACURA,RLX,2019,V6 3.5,Automática,19010R9PA51,Con clima,15 3/4,30 3/16,
ACURA,RLX,2020,V6 3.5,Automática,19010R9PA51,Con clima,15 3/4,30 3/16,
,,,,,,,,,
ACURA,TL,2005,V6 3.5,Automática,433877,Con clima,16 3/4,28 1/4,
ACURA,TL,2006,V6 3.5,Automática,433877,Con clima,16 3/4,28 1/4,
ACURA,TL,2007,V6 3.5,Automática,433877,Con clima,16 3/4,28 1/4,
ACURA,TL,2008,V6 3.5,Automática,433877,Con clima,16 3/4,28 1/4,
ACURA,TL,2009,"V6 3.5,3.7",Automática,19010RK1A52,Con clima,16 3/4,30 3/16,
ACURA,TL,2010,"V6 3.5,3.7",Automática,19010RK1A52,Con clima,16 3/4,30 3/16,
ACURA,TL,2011,"V6 3.5,3.7",Automática,19010RK1A52,Con clima,16 3/4,30 3/16,
ACURA,TL,2012,"V6 3.5,3.7",Automática,19010RK1A52,Con clima,16 3/4,30 3/16,
ACURA,TL,2013,"V6 3.5,3.7",Automática,19010RK1A52,Con clima,16 3/4,30 3/16,
ACURA,TL,2014,"V6 3.5,3.7",Automática,19010RK1A52,Con clima,16 3/4,30 3/16,
,,,,,,,,,
,,,,,,,,,
ACURA,TLX,2013,L4 2.4,Automática,4113363,Con clima,15 3/4,31,
ACURA,TLX,2014,L4 2.4,Automática,4113363,Con clima,15 3/4,31,
ACURA,TLX,2015,L4 2.4,Automática,4113363,Con clima,15 3/4,31,
ACURA,TLX,2016,L4 2.4,Automática,4113363,Con clima,15 3/4,31,
ACURA,TLX,2017,L4 2.4,Automática,4113363,Con clima,15 3/4,31,
,,,,,,,,,
ACURA,TSX,2009,L4 2.4,Automática,19010RL5A51,Con clima,15 3/4,30 3/16,
ACURA,TSX,2010,L4 2.4,Automática,19010RL5A51,Con clima,15 3/4,30 3/16,
ACURA,TSX,2011,L4 2.4,Automática,19010RL5A51,Con clima,15 3/4,30 3/16,
ACURA,TSX,2012,L4 2.4,Automática,19010RL5A51,Con clima,15 3/4,30 3/16,
ACURA,TSX,2013,L4 2.4,Automática,19010RL5A51,Con clima,15 3/4,30 3/16,
ACURA,TSX,2014,L4 2.4,Automática,19010RL5A51,Con clima,15 3/4,30 3/16,
,,,,,,,,,
ACURA,ZDX,2010,V6 3.7,Automática,19010RYEA52,Con clima,19 11/16,30 3/16,
ACURA,ZDX,2011,V6 3.7,Automática,19010RYEA52,Con clima,19 11/16,30 3/16,
,,,,,,,,,
,,,,,,,,,
AUDI,A1,2011,L4 1.6,Automática,640012,Con clima,25 5/8,12 1/8,
AUDI,A1,2012,L4 1.6,Automática,640012,Con clima,25 5/8,12 1/8,
AUDI,A1,2013,L4 1.6,Automática,640012,Con clima,25 5/8,12 1/8,
AUDI,A1,2014,L4 1.6,Automática,640012,Con clima,25 5/8,12 1/8,
AUDI,A1,2015,L4 1.6,Automática,640012,Con clima,25 5/8,12 1/8,
AUDI,A1,2016,L4 1.6,Automática,640012,Con clima,25 5/8,12 1/8,
AUDI,A1,2017,L4 1.6,Automática,640012,Con clima,25 5/8,12 1/8,
AUDI,A1,2018,L4 1.6,Automática,640012,Con clima,25 5/8,12 1/8,
,,,,,,,,,
AUDI,A3,1998,L4 1.8,Automática,M-914,Con clima,25 9/16,16 3/8,
AUDI,A3,1999,L4 1.8,Automática,M-914,Con clima,25 9/16,16 3/8,
AUDI,A3,2000,L4 1.8,Automática,M-914,Con clima,25 9/16,16 3/8,
AUDI,A3,2001,L4 1.8,Automática,M-914,Con clima,25 9/16,16 3/8,
AUDI,A3,2002,L4 1.8,Automática,M-914,Con clima,25 9/16,16 3/8,
AUDI,A3,2003,L4 1.8,Automática,M-914,Con clima,25 9/16,16 3/8,
AUDI,A3,2005,"L4 2.0, V6 3.2",Automática,434022,Con clima,25 1/2,15 3/4,
AUDI,A3,2006,"L4 2.0, V6 3.2",Automática,434022,Con clima,25 1/2,15 3/4,
AUDI,A3,2006,V6 3.2,Automática,65307,Con clima,25 1/2,16 7/8,
AUDI,A3,2007,L4 1.4,Automática,732872,Con clima,25 5/8,16 3/8,
AUDI,A3,2007,"L4 2.0, V6 3.2",Automática,434022,Con clima,25 1/2,15 3/4,
AUDI,A3,2007,V6 3.2,Automática,65307,Con clima,25 1/2,16 7/8,
AUDI,A3,2008,L4 1.4,Automática,732872,Con clima,25 5/8,16 3/8,
AUDI,A3,2008,"L4 2.0, V6 3.2",Automática,434022,Con clima,25 1/2,15 3/4,
AUDI,A3,2008,V6 3.2,Automática,65307,Con clima,25 1/2,16 7/8,
AUDI,A3,2009,L4 1.4,Automática,732872,Con clima,25 5/8,16 3/8,
AUDI,A3,2009,"L4 2.0, V6 3.2",Automática,434022,Con clima,25 1/2,15 3/4,
AUDI,A3,2009,L4 2.0,Automática,434060,Con clima,25 5/8,17 3/4,TURBO
AUDI,A3,2009,V6 3.2,Automática,65307,Con clima,25 1/2,16 7/8,
AUDI,A3,2010,L4 1.4,Automática,732872,Con clima,25 5/8,16 3/8,
AUDI,A3,2010,L4 2.0,Automática,434060,Con clima,25 5/8,17 3/4,TURBO
AUDI,A3,2010,V6 3.2,Automática,65307,Con clima,25 1/2,16 7/8,
AUDI,A3,2011,L4 1.4,Automática,732872,Con clima,25 5/8,16 3/8,
AUDI,A3,2011,L4 2.0,Automática,434060,Con clima,25 5/8,17 3/4,TURBO
AUDI,A3,2012,L4 1.4,Automática,732872,Con clima,25 5/8,16 3/8,
AUDI,A3,2012,L4 2.0,Automática,434060,Con clima,25 5/8,17 3/4,TURBO
AUDI,A3,2013,L4 2.0,Automática,434060,Con clima,25 5/8,17 3/4,
AUDI,A3,2013,L4 2.0,Automática,434060,Con clima,25 5/8,17 3/4,TURBO
AUDI,A3,2013,L4 1.8 2.0,Automática,65302,Con clima,25 5/8,17,TFSI
AUDI,A3,2014,L4 1.8 2.0,Automática,65302,Con clima,25 5/8,17,TFSI
AUDI,A3,2015,L4 1.8 2.0,Automática,65302,Con clima,25 5/8,17,TFSI
AUDI,A3,2016,L4 1.8 2.0,Automática,65302,Con clima,25 5/8,17,TFSI
AUDI,A3,2017,L4 1.8 2.0,Automática,65302,Con clima,25 5/8,17,TFSI
AUDI,A3,2018,L4 1.8 2.0,Automática,65302,Con clima,25 5/8,17,TFSI
AUDI,A3,2019,L4 1.8 2.0,Automática,65302,Con clima,25 5/8,17,TFSI
AUDI,A3,2020,L4 1.8 2.0,Automática,65302,Con clima,25 5/8,17,TFSI
,,,,,,,,,
AUDI,A4,1996,L4 1.8,Automática,432631,Con clima,24 7/8,15 3/4,
AUDI,A4,1996,L4 1.8,Estándar,432598,Con clima,24 7/8,15 3/4,
AUDI,A4,1997,L4 1.8,Automática,432631,Con clima,24 7/8,15 3/4,
AUDI,A4,1997,L4 1.8,Estándar,432598,Con clima,24 7/8,15 3/4,
AUDI,A4,1998,L4 1.8,Automática,432631,Con clima,24 7/8,15 3/4,
AUDI,A4,1998,L4 1.8,Estándar,432598,Con clima,24 7/8,15 3/4,
AUDI,A4,1999,L4 1.8,Automática,432631,Con clima,24 7/8,15 3/4,
AUDI,A4,1999,L4 1.8,Estándar,432598,Con clima,24 7/8,15 3/4,
AUDI,A4,2000,L4 1.8,Automática,432631,Con clima,24 7/8,15 3/4,
AUDI,A4,2000,L4 1.8,Estándar,432598,Con clima,24 7/8,15 3/4,
AUDI,A4,2001,L4 1.8,Automática,432631,Con clima,24 7/8,15 3/4,
AUDI,A4,2001,L4 1.8,Estándar,432598,Con clima,24 7/8,15 3/4,
AUDI,A4,2002,"L4 1.8, 2.0",Automática,433658,Con clima,24 13/16,16,
AUDI,A4,2002,"L4 1.8, 2.0",Estándar,433652,Con clima,24 13/16,16,
AUDI,A4,2002,V6 3.2,Automática,433659,Con clima,24 7/8,17 5/8,
AUDI,A4,2003,"L4 1.8, 2.0",Automática,433658,Con clima,24 13/16,16,
AUDI,A4,2003,"L4 1.8, 2.0",Estándar,433652,Con clima,24 13/16,16,
AUDI,A4,2003,V6 3.2,Automática,433659,Con clima,24 7/8,17 5/8,
AUDI,A4,2004,"L4 1.8, 2.0",Automática,433658,Con clima,24 13/16,16,
AUDI,A4,2004,"L4 1.8, 2.0",Estándar,433652,Con clima,24 13/16,16,
AUDI,A4,2004,V6 3.2,Automática,433659,Con clima,24 7/8,17 5/8,
AUDI,A4,2005,"L4 1.8, 2.0",Automática,433658,Con clima,24 13/16,16,
AUDI,A4,2005,"L4 1.8, 2.0",Estándar,433652,Con clima,24 13/16,16,
AUDI,A4,2005,V6 3.2,Automática,433659,Con clima,24 7/8,17 5/8,
AUDI,A4,2006,"L4 1.8, 2.0",Automática,433658,Con clima,24 13/16,16,
AUDI,A4,2006,"L4 1.8, 2.0",Estándar,433652,Con clima,24 13/16,16,
AUDI,A4,2006,V6 3.2,Automática,433659,Con clima,24 7/8,17 5/8,
AUDI,A4,2007,"L4 1.8, 2.0",Automática,433658,Con clima,24 13/16,16,
AUDI,A4,2007,"L4 1.8, 2.0",Estándar,433652,Con clima,24 13/16,16,
AUDI,A4,2007,V6 3.2,Automática,433659,Con clima,24 7/8,17 5/8,
AUDI,A4,2008,"L4 1.8, 2.0",Automática,433658,Con clima,24 13/16,16,
AUDI,A4,2008,"L4 1.8, 2.0",Estándar,433652,Con clima,24 13/16,16,
AUDI,A4,2008,V6 3.2,Automática,433659,Con clima,24 7/8,17 5/8,
AUDI,A4,2009,"L4 1.8, 2.0",Automática,433658,Con clima,24 13/16,16,
AUDI,A4,2009,"L4 1.8, 2.0",Estándar,433652,Con clima,24 13/16,16,
